display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Stephen Silver,Tilt Magazine,"The biggest decision that guaranteed Titanic’s success was the casting of the two leads. Neither was a particularly huge star when the movie was being put together in 1996, but their chemistry was electric. (25th anniversary)","| Original Score: 4.5/5
                
                |","Dec 27, 2022"
Don Shanahan,25YL (25 Years Later),The film brought the old legend to life and stoked an emotional windfall that has never been seen in movies before or since.,"| Original Score: 5/5
                
                |","Dec 25, 2022"
Rob Gonsalves,Rob's Movie Vault,"""Titanic"" delivers and then some.","| Original Score: A
                
                |","Sep 1, 2022"
James Wegg,JWR,That sinking feeling,"| Original Score: 3.5/5
                
                |","May 5, 2022"
Richard Williams,Guardian,"Titanic is, in the end, and despite being prohibited to those under 12 years old, a film for children of all ages, for those ready to gasp at a parade of wonders and eager to be swept away.",|,"Mar 17, 2022"
Robert W. Butler,Kansas City Star,This is why movies were invented.,"| Original Score: 3.5/4
                
                |","Mar 17, 2022"
John Griffin,Montreal Gazette,"As epic mainstream entertainment, the film is the best Hollywood has produced since the late David Lean sent Lawrence to Arabia or Zhivago to Russia. As experience, it will strike those who let it as profound.","| Original Score: 4.5/5
                
                |","Mar 17, 2022"
Henry Sheehan,Orange County Register,"Cameron has filled this saga almost to the bursting point with stories and themes that stretch from romance to expose, from parables of hubris to celebrations of industry. This is a great, sprawling film because it urgently needs to be so.","| Original Score: A
                
                |","Mar 17, 2022"
Wallace Baine,Santa Cruz Sentinel,"Titanic was expected to be impressive. It is, friends, much more than that. It attains a state of humbling majesty, evoking with a sense of unashamed grandeur a terribly out-of-style but vital emotion, awe.","| Original Score: A-
                
                |","Mar 17, 2022"
Eleanor O'Sullivan,Asbury Park Press (NJ),"The young lovers, portrayed by the talented Leonardo Di Caprio and Kate Winslet, are beautiful and blessed in finding each other, and their story, as told by the old woman, humanizes an event daunting in its scope and impact.","| Original Score: 3.5/4
                
                |","Mar 17, 2022"
Joe Riley,Liverpool Echo,"The movie, however, is a triumph of truly titantic proportions. Proof that directors and actors can work alongside computer-generated effects without being swamped by the technology.","| Original Score: 5/5
                
                |","Mar 17, 2022"
Philip French,Observer (UK),"James Cameron's deeply disappointing Titanic is a sad thing when set against the modest, factual 1958 film, A Night to Remember.",|,"Mar 17, 2022"
Lawrence Toppman,Charlotte Observer,"The marriage of simplistic plots and stylistic excesses is a hallmark of James Cameron’s movies, and this is his masterwork, for good and ill.","| Original Score: B-
                
                |","Mar 17, 2022"
Adrian Martin,The Age (Australia),"Ultimately, it is Cameron's overweening ambition to overlay a grand journey of the human spirit atop all the thrills, spills and clinches that hobbles his epic, rendering it enjoyable but mediocre.","| Original Score: 2.5/4
                
                |","Mar 17, 2022"
Steve Murray,Atlanta Journal-Constitution,Strap on your life vests and dive on in: It's wonderful hokum.,"| Original Score: A-
                
                |","Mar 17, 2022"
Steve Persall,Tampa Bay Times,"Now, let me tell you what's really impressive about Cameron's film. In the midst of all of the hydraulic set spasms, dauntless stuntwork and computerized mirages, Titanic cultivates one of the best mainstream love stories Hollywood has produced in years.","| Original Score: A
                
                |","Mar 17, 2022"
Jeff Strickler,Minneapolis Star Tribune,"Visually, the movie is undeniably impressive; there's no question where all the money went. As love stories go, this one is solid, but it's a long way short of special.","| Original Score: 4/5
                
                |","Mar 17, 2022"
Ron Weiskind,Pittsburgh Post-Gazette,"Like the magnificent ship at its center, ""Titanic"" exhibits a grandeur and panache reminiscent of a bygone era.",|,"Mar 17, 2022"
Malcolm Johnson,Hartford Courant,"James Cameron's Titanic looks grand, but proceeds rather absurdly as it tells a tear-jerking but preposterous story of a love affair, viciously fought by the most dastardly villain since the demise of gaslight melodrama.","| Original Score: 2.5/4
                
                |","Mar 17, 2022"
Sandra Hall,Sydney Morning Herald,"Cameron has amplified and elaborated, and it has to be said, in circumstances like these, bigness has its own fascination.",|,"Mar 17, 2022"
David Denby,New York Magazine/Vulture,Winslet is breathtakingly vivid in her emotional transparency. She easily masters the American accent as well as a young upper-class girl's petulant pride.,|,"Mar 17, 2022"
Rob Lowing,The Sun-Herald (Australia),There are moments of suspense which will have even the blase digging their nails into the armrest. And the scenes involving the ship's death throes are some of the most spectacular ever on screen.,"| Original Score: 8/10
                
                |","Mar 17, 2022"
Jay Stone,Ottawa Citizen,"The verdict: As big and glorious as the ship itself, unwieldy, unstoppable, packed with all the corny histrionics of the grand old Hollywood blockbusters and culminating in the most breathtaking maritime disaster since Waterworld.","| Original Score: 4/5
                
                |","Mar 17, 2022"
Bob Ross,Tampa Tribune,"Cameron succeeds because he combines amazing effects with a powerful love story. He takes us into the past, he provides perspective for the present, and he'll keep audiences rapt for three hours.","| Original Score: 3.5/4
                
                |","Mar 17, 2022"
Donald Munro,Fresno Bee,It's s movie of big flourishes and tiny moments.,"| Original Score: A
                
                |","Mar 17, 2022"
Elvis Mitchell,Fort Worth Star-Telegram/DFW.com,At least we know there won't be a sequel.,"| Original Score: 2/4
                
                |","Mar 17, 2022"
Marshall Fine,"Journal News (Westchester, NY)","The result is a three-plus-hour marvel, an epic adventure that immerses the audience into a touching romance, then takes a sharp turn into action and thrills, when the famous ship meets its doom. Titanic, it turns out, was worth waiting for.","| Original Score: 3.5/4
                
                |","Mar 17, 2022"
Sean P. Means,Salt Lake Tribune,"What do you get for your $6? You get an impressive epic of a scope Hollywood doesn't handle anymore, on the massive scale of Lawrence of Arabia or Spartacus. You also get a spectacle so large that it frequently dwarfs the human element.","| Original Score: 3/4
                
                |","Mar 17, 2022"
Tom Ryan,The Sunday Age,"Essentially, James Cameron's Titanic is four loosely-connected movies squeezed into one, none of them entirely satisfactory, none totally disastrous.","| Original Score: 2.5/5
                
                |","Mar 17, 2022"
Noel Murray,Nashville Scene,"Cameron's attention to detail in the smaller, human moments makes the eye-popping visual effects work, and the performances of DiCaprio and Kate Winslet are affecting even when the pair is just running though water.",|,"Mar 17, 2022"
Hank Stuever,Austin American-Statesman,"A decently charming and heart-wrenching love story, Titanic briefly transforms itself into the pulsing action-adventure movie we never got last summer, and, at the same time, is a panic-stricken moral lesson about class and gender strife.","| Original Score: 3.5/4
                
                |","Mar 17, 2022"
Quentin Falk,Sunday Mirror (UK),Woven into this authentic recreation is a tearjerking tale of young love which adds a new dimension to the unfolding human drama.,|,"Mar 17, 2022"
John Powers,Vogue,"Lavish, corny, and almost exhaustingly spectacular, Titanic is the kind of grand entertainment that only Hollywood can make.",|,"Mar 17, 2022"
Jeffrey Westhoff,"Northwest Herald (Crystal Lake, IL)","Titanic contains moments so astounding they deserve to be seen. And to DiCaprio and Winslet's credit, they outshine their material. But before Titanic delivers the goods, be prepared to tread a lot of water.","| Original Score: 3/4
                
                |","Mar 17, 2022"
Michael Dwyer,Irish Times,"James Cameron succeeds in bringing the story to life on screen like never before, employing state-of-the-art technology to create pure cinema that is, by turns, thrilling, heartbreaking, spellbinding and breathtaking.",|,"Mar 17, 2022"
Alison Gillmor,Winnipeg Free Press,James Cameron's waterlogged epic is as vainglorious and over-inflated as the ship it's named for.,"| Original Score: 1.5/5
                
                |","Mar 17, 2022"
Michael D. Reid,"Victoria Times Colonist (B.C., Canada)",Titanic is consistently engrossing as an old-fashioned disaster movie bound to blow its competitors out of the water.,"| Original Score: 3/4
                
                |","Mar 17, 2022"
Bob Fenster,Arizona Republic,Is Titanic worth your $6 price of admission? Absolutely. It's a spectacular disaster film nested inside a superior drama about great love and great loss.,"| Original Score: 4/5
                
                |","Mar 17, 2022"
Bruce R. Miller,Sioux City Journal,"The film opens its arms, then embraces its audience for the better part of three hours. The hug is genuine and heartfelt.","| Original Score: 4/4
                
                |","Mar 17, 2022"
Alexander Walker,London Evening Standard,Interpreting the tragedy as a tale of two people who find love a bit late in the day sounds fine in theory. But what about the many hundreds who simply found death? They remain computerised flotsam and jetsam.,|,"Mar 16, 2022"
Terry Lawson,Detroit Free Press,"The ingenious Cameron and his effects team have creating indelible, realistic images... Where Titanic springs its leaks is in the creating of indelible or realistic people.","| Original Score: 3/4
                
                |","Mar 16, 2022"
Manohla Dargis,L.A. Weekly,"Cameron excels at big scenes and muscular action; it's the little things, such as emotional nuance and complicated characters, that he can't manage well.",|,"Mar 16, 2022"
Dennis King,Tulsa World,"For all the chatter about Cameron's tyrannical work ethic, his film's delayed release and its reported $220 million-plus budget, Titanic cruises majestically into America's multiplexes and delivers a whopping entertainment.","| Original Score: 3.5/4
                
                |","Mar 16, 2022"
Tara Brady,Irish Times,Forget Celine Dion’s infernal heart. This movie just goes on and on.,|,"Mar 16, 2022"
Brian Eggert,Deep Focus Review,"Push aside the phenomenon, which too often limits Titanic's place in film history, and what's left is an immersive and affecting experience that may have been lost amid the talk about its making, its superstar performers, and its box-office receipts.","| Original Score: 3.5/4
                
                |","Feb 23, 2022"
David Walsh,World Socialist Web Site,It might be best perhaps to describe Titanic as a sort of lowest common denominator. The film contains certain minimums necessary to draw an audience ... but its very blandness ... accounts for its great success.,|,"Feb 12, 2021"
Mike Massie,Gone With The Twins,Stirring music and seamless special effects add to the thrills - it's just a shame it takes so long to get to that point.,"| Original Score: 7/10
                
                |","Sep 25, 2020"
Geoff Brown,Times (UK),"For all the sluggish script and the enormous weight of the special effects, this movie behemoth still has the power to shake us rigid and and touch the soul.",|,"Feb 6, 2020"
Nigel Andrews,Financial Times,"[The ending] is a masterpiece of popcorn tragedy: not deep, not sophisticated, barely even credible, but gut-clutching for those of us who have already lost the sensible use of our stomachs, as we would in any worthwhile fairground ride.",|,"Feb 6, 2020"
Rachel Wagner,Rachel's Reviews (YouTube),It's the kind of movie that just doesn't come along that often.,"| Original Score: A
                
                |","Jun 28, 2019"
Sean Burns,WBUR’s Arts & Culture,"In recent years I've come around to thinking that a more nuanced version of the tale with better-rounded characters wouldn't resonate as powerfully as Cameron's shamelessly bold, sometimes silly strokes.",|,"Jun 20, 2019"
David Baron,Times-Picayune,"See Titanic, then, for its success as an outrageous visual stunt -- a marvel of cinematic (and computer) sleight-of-hand. But don't go with any illusions that this soap opera on water is anything but a cartoon melodrama with fairy-tale leads.","| Original Score: 2.5/4
                
                |","Feb 21, 2019"
Quentin Curtis,Daily Telegraph (UK),"The movie is a ride, and not without the odd moment of corniness. But it's also about freedom and flight, bondage and stagnation. And most fittingly, as a memorial itself, it's about memory and the act of remembering.","| Original Score: 4/5
                
                |","Feb 6, 2019"
Duane Byrge,Hollywood Reporter,"No meager disaster movie, greased by generic formula and goosed by big-bucks technology... Titanic is one big, bruising movie that will appeal on different levels to different audiences.",|,"Dec 26, 2018"
Hannah Ryan,Screen Queens,"Titanic has deservedly cemented its place as one of the greatest movies of all time, as it manages to capture the wretchedness of historical tragedy while also skilfully enrapturing us with the dedication shown by one person to another...",|,"Aug 24, 2018"
Matthew Sweet,Independent on Sunday,"The dialogue may be unspeakable, but the film remains unsinkable.",|,"Mar 2, 2018"
Jack Mathews,Newsday,"Cameron's aim was to set the most intimate love story possible against one of the century's biggest tragedies, and he very nearly pulls it off. DiCaprio has a captivating presence in a role that might have been written for a young Clark Gable.",|,"Jan 3, 2018"
Alissa Wilkinson,Vox,"What I can tell you, risking puns, is that it swept me off my feet almost from the get-go, a grand epic romance-disaster that reminded me, in the middle of my overstuffed-with-movies life, of what we mean when we talk about the power of cinema.",|,"Dec 19, 2017"
Jason Bailey,Vice,"Sure, 'Titanic' may be corny, clumsy, and obvious-but the sincerity of its emotions and the power of its spectacle endure.",|,"Dec 15, 2017"
Paul Tatara,CNN.com,"Cameron has devised a tender love story between Kate Winslet and Leonardo DiCaprio that serves as the main focus of Titanic's storyline, and it works beautifully.",|,"Feb 25, 2014"
Dave Kehr,New York Daily News,"If computer-generated special effects have overpowered human-generated drama, Cameron seizes that dangerously cold technology and recasts it as dream and delirium, profoundly human in its sources and longings.","| Original Score: 4/4
                
                |","Feb 25, 2014"
Desmond Ryan,Philadelphia Inquirer,"The execution is state-of-the-art and breathtaking. Titanic offers the full compass of courage and cowardice, and it stands as an achievement that truly is a night to remember at the movies.","| Original Score: 3.5/4
                
                |","Feb 25, 2014"
Maria Schneider,AV Club,Titanic provides an absorbing blend of historical fact and old-fashioned Hollywood tearjerking.,|,"Feb 25, 2014"
Jay Boyar,Orlando Sentinel,Titanic is indeed a ship of dreams. Climb aboard and bon voyage.,"| Original Score: 4/5
                
                |","Feb 25, 2014"
Leah Rozen,People Magazine,DiCaprio and Winslet both deliver star-making performances.,"Full Review
                
                
                |","Feb 25, 2014"
Joe Holleman,St. Louis Post-Dispatch,"Take one of history's most compelling tragedies, tell it through the lives of two engaging young lovers and show it with some of the best-ever special effects and you have a dazzling, exciting movie that is also poignant and personal.","| Original Score: 4/4
                
                |","Feb 25, 2014"
Serena Donadoni,"Metro Times (Detroit, MI)",It's a technically magnificent and emotionally wrenching experience.,"| Original Score: 4/5
                
                |","Feb 25, 2014"
Rod Dreher,South Florida Sun-Sentinel,"Titanic is an awesome achievement, a traditional Hollywood epic that dazzles your eyes, breaks your heart and shivers your soul.",|,"Feb 25, 2014"
Chris Knight,National Post,DiCaprio manages a good mix of youthful bravado and nervous uncertainty... And Winslet shines as a willful rich girl who discovers her sensual side with this earthy urchin.,|,"Feb 24, 2013"
Gene Siskel,Chicago Tribune,"With his beatific, sweet, open face, DiCaprio gives us a rooting interest in hoping that someone important to us survives the wreck.","| Original Score: 3.5/4
                
                |","Jan 16, 2013"
Ben Kendrick,Screen Rant,Titanic 3D lacks creative synergy that could have been explored had the film been shot with 3D in mind but its easily the best example of post-conversion to date.,"| Original Score: 4/5
                
                |","Sep 27, 2012"
R.L. Shaffer,IGN DVD,"A staggering film, layered with melodramatic romance, tragedy, intensity and breathtaking production design.","| Original Score: 9/10
                
                |","Sep 26, 2012"
Jim Schembri,3AW,Jack and Rose actually cause the Titanic to hit the iceberg. Watch closely.,"| Original Score: 5/5
                
                |","Sep 19, 2012"
Felix Vasquez Jr.,Cinema Crazed,Director James Cameron takes one of his most beloved historical incidents and transforms it in to a McDonald's product...,|,"Sep 12, 2012"
John J. Puccio,Movie Metropolis,"While I admit the film does not impress me as much as it does most other people, there is no questioning its passion and excitement.","| Original Score: 7/10
                
                |","Sep 5, 2012"
Kelly Vance,East Bay Express,"When the bolts start to pop and the water bursts the bulkheads and the ship's orchestra plays waltzes, writer-director Cameron achieves his vision grandly.",|,"May 3, 2012"
Charlie Lyne,Ultra Culture,The most breezy 194 minutes ever to grace the multiplex.,|,"Apr 29, 2012"
Blake Howard,2UE That Movie Show,"The clunky dialogue, historical inaccuracy and overdose of Billy Zane in the opening stanza of the film is all but forgotten in one of the most emotionally affective, thrilling closing stanzas ever committed to celluloid.","Full Review
                
                
                    | Original Score: 3.5/5
                
                |","Apr 28, 2012"
Linda Cook,"Quad City Times (Davenport, IA)","'Titanic' is an epic that's see-worthy indeed. Directed/written/produced by James Cameron, its $200 million budget shows in its glorious effects, dazzling camera work and lavish sets, now, with the addition of Cameron's carefully crafted 3-D.","| Original Score: 3.5/4
                
                |","Apr 21, 2012"
Bruce Bennett,"Spectrum (St. George, Utah)","Yes, it is time to return to the chilly North Atlantic to appreciate again James Cameron's glorious epic, for its scope, underappreciated script and perfect casting.","| Original Score: A-
                
                |","Apr 16, 2012"
Victoria Alexander,FilmsInReview.com,Two spitting scenes in 3D and Jack Dawson loses his virginity. A second look indicates a cruel streak in the modern epic.,|,"Apr 16, 2012"
Brett Michel,Boston Herald,Spoiler alert! The ship still sinks.,"| Original Score: B
                
                |","Apr 14, 2012"
Burl Burlingame,Honolulu Star-Advertiser,"It is, simply, a great film, a throwback to classic filmmaking, and more than that, an experience with unusual resonance to the world of today.","| Original Score: 4/4
                
                |","Apr 12, 2012"
Rob Humanick,Suite101.com,The kind of mass death spectacle Michael Bay is frequently accused (and often guilty) of partaking in is much better encapsulated in Titanic's final third.,"| Original Score: A-
                
                |","Apr 9, 2012"
Dan Lybarger,KC Active,"If you can get past the occasional Cameron clunker (Who can forget, ""I'm the king of the world!"") and Zane's almost amusingly over-the-top turn as Cal, Titanic still manages to make the tragedy seem more vivid than a statistic in a history book.","| Original Score: 4/5
                
                |","Apr 8, 2012"
Kevin A. Ranson,MovieCrypt.com,Forget that we know how it all ends; it's the drama of dealing with eventuality that tells the real story here.,"| Original Score: 4.0/4.0
                
                |","Apr 8, 2012"
Michelle Alexandria,Eclipse Magazine,"15 years ago, I didn't let Titanic into my heart, now I get it. Movie is fantastic, but utterly fails as a 3D reissue.","| Original Score: C
                
                |","Apr 8, 2012"
Lisa Giles-Keddie,Real.com,"Simply one of 20th century cinema's greatest, old-fashioned love stories, full of still impressive effects (pre 3D) and decent, if theatrical acting ...","| Original Score: 3/5
                
                |","Apr 6, 2012"
Todd Gilchrist,Boxoffice Magazine,"Titanic evidences the secret of his longtime success, a talent more impressive even than Cameron's technical prowess: his ability to find stories that tap into greater truths and deeper feelings.","Full Review
                
                
                    | Original Score: 4/5
                
                |","Apr 6, 2012"
Ed Whitfield,The Ooh Tray,"Forget women and children, what about truth and realism first?",|,"Apr 6, 2012"
Cath Clarke,Time Out,We know the story ends badly but Cameron still sweeps us up in the romance between Kate Winslet's rebellious posh girl and DiCaprio's steerage kid.,"| Original Score: 4/5
                
                |","Apr 6, 2012"
Norman Wilner,NOW Toronto,Titanic still works brilliantly; it's a grand-scale studio epic with the heart of a romance and the pulse of an action movie. It's the only American film that rivals Gone With The Wind for both swoonery and production value.,"Full Review
                
                
                    | Original Score: 5/5
                
                |","Apr 6, 2012"
Alex Zane,The Sun (UK),Titanic is a movie that has to be seen on the big screen and will enchant a new generation of fans. A must-see 3D experience.,"| Original Score: 5/5
                
                |","Apr 6, 2012"
David Sexton,London Evening Standard,"It has itself become, like the shipwreck, a cultural monument, only accreting value, not losing significance, as time goes by.","| Original Score: 4/4
                
                |","Apr 6, 2012"
Liverpool Echo Staff,Liverpool Echo,"Cameron hasn't plugged any of the plot holes and some dialogue is still cheesy but now, just as in 1998, we forgive him a multitude of sins.",|,"Apr 6, 2012"
Dana Stevens,Slate,"Cameron's three-hour disaster epic is a triumph of popular art -- of folk art, really.",|,"Apr 6, 2012"
Rafer Guzman,Newsday,"""Titanic"" still amazes as the kind of massive, build-and-destroy production that few filmmakers have the ambition or budget to make.","| Original Score: 4/4
                
                |","Apr 6, 2012"
Ann Hornaday,Washington Post,"[Cameron] stages the sinking with a flawless sense of detail, pacing, import and dread.","| Original Score: 3/4
                
                |","Apr 6, 2012"
Alonso Duralde,What the Flick?!,"For all of its flaws, this movie works in the way that classic Hollywood movies do. It delivers.",|,"Apr 5, 2012"
Christopher Tookey,Daily Mail (UK),Its emotional impact lies in the fact it makes even the most blas of us feel what it must have been like to be on the sinking ship. And the film's underlying themes still have potency.,"| Original Score: 4/5
                
                |","Apr 5, 2012"
Peter Bradshaw,Guardian,"Only the snobbish or the obtuse could deny its ambition, verve and entertainment firepower.","| Original Score: 4/5
                
                |","Apr 5, 2012"
Joe Morgenstern,Wall Street Journal,This version has deepened and enriched a film that was already rich in emotions and remarkable for its depth of detail.,|,"Apr 5, 2012"
Peter Travers,Rolling Stone,How is Titanic in 3D? The answer is pretty damn dazzling.,"| Original Score: 3.5/4
                
                |","Apr 5, 2012"
Gary Wolcott,Tri-City Herald,"Those who've only seen it on video don't think the film is that big a deal. Trust me, it is. Even with the dragged out love story, Cameron's film is still mind-blowing.","| Original Score: 4/5
                
                |","Apr 5, 2012"
Brian Orndorf,BrianOrndorf.com,"Time has been kind to the effort, exposing a strikingly constructed, sporadically numbskulled, exhaustively sentimental feature that sails smoothly with an unobtrusive 3D addition.","| Original Score: B
                
                |","Apr 5, 2012"
Basia Cummings,Little White Lies,"If you fancy indulging in pure, unadulterated silliness and spending a night in the '90s, this is a good bet. Otherwise...","| Original Score: 2/5
                
                |","Apr 5, 2012"
Rich Cline,Shadows on the Wall,"Reissued to tie in with the 100th anniversary of the Titanic's ill-fated maiden voyage, it's astonishing how timeless the film looks. And as a true classic, it doesn't lose our attention for a moment.","| Original Score: 5/5
                
                |","Apr 5, 2012"
Adrian Turner,Radio Times,"Titanic is a sumptuous assault on the emotions, with a final hour that fully captures the horror and the freezing, paralysing fear of the moment.","| Original Score: 4/5
                
                |","Apr 5, 2012"
Michael Phillips,Chicago Tribune,Cameron is a genius at instilling narrative dread and designing a hokum-drenched fairy tale of a certain size.,"| Original Score: 3.5/4
                
                |","Apr 5, 2012"
Drew McWeeny,HitFix,"Like the film or don't like the film, there are very few filmmakers working now or ever who could have done what Cameron did here, no matter what resources they had.","| Original Score: A-
                
                |","Apr 4, 2012"
L. Thompson,E! Online,"Near, far, wherever you are sitting in the theater, the newly revamped Titanic now has stuff coming out at you.","| Original Score: A-
                
                |","Apr 4, 2012"
Christy Lemire,Associated Press,"If any film should be redone in 3-D, it's ""Titanic."" And if any filmmaker should be the one doing the redoing, it's James Cameron.","| Original Score: 3/4
                
                |","Apr 4, 2012"
Henry Fitzherbert,Daily Express (UK),"A timeless epic that gets me every time (yes, I needed my own life raft at the screening), the power of the storytelling and the performances by Kate Winslet and Leonardo DiCaprio grip throughout.","| Original Score: 3/5
                
                |","Apr 4, 2012"
Josh Forward,Trespass,It's so easy to see how this film that's still so enjoyable from start to end has become so iconic.,|,"Apr 4, 2012"
Michael Simms,FILMINK (Australia),"Revisiting Titanic on the big screen, this time in impressive 3D, is a welcome reminder of solid blockbuster movie magic.",|,"Apr 4, 2012"
Gary Thompson,Philadelphia Daily News,The central love story involving steerage passenger Leonardo DiCaprio and rich girl Kate Winslet has lost none of its luster - metaphorically speaking.,"| Original Score: 3/4
                
                |","Apr 4, 2012"
Philip De Semlyen,Empire Magazine,"With a 3D conversion from the medium's pioneer-in-chief, Titanic is a big-screen romance that's every bit as epic as you remember.","| Original Score: 4/5
                
                |","Apr 4, 2012"
Graham Young,Birmingham Post,It's for old-fashioned romantics who want to see a classic love story on the grandest scale.,"| Original Score: 4/5
                
                |","Apr 4, 2012"
Simon Reynolds,Digital Spy,"It's certainly a jaw-dropping big screen experience, even though the outcome is never in doubt. Just make sure you bolt for the door once Celine Dion's caterwauling kicks in.","| Original Score: 4/5
                
                |","Apr 4, 2012"
Matthew Turner,ViewLondon,"A thoroughly gripping, emotionally powerful, genuinely thrilling and, yes, achingly romantic drama with jaw-dropping special effects and star-making performances from DiCaprio and Winslet.","| Original Score: 5/5
                
                |","Apr 4, 2012"
Rob Thomas,"Capital Times (Madison, WI)","""Titanic 3D"" works because it's still ""Titanic,"" a satisfying merger of newfangled effects and oldfangled melodrama. Judging by the wave of sniffles at the sneak preview screening I saw Tuesday night, it's a formula that endures 15 years later.","| Original Score: 3.5/4
                
                |","Apr 4, 2012"
R. Kurt Osenlund,Slant Magazine,"The re-release is keenly timed with the 100th anniversary of the actual sinking of the RMS Titanic, yet another factor to validate the 3D film's existence.","| Original Score: 3.5/4
                
                |","Apr 4, 2012"
Claudia Puig,USA Today,"Sure, it's corny, but there's something endearing about the tale of young love and its earnest lack of irony.","| Original Score: 3/4
                
                |","Apr 4, 2012"
Emma Dibdin,Total Film,"Leo and Kate give good doomed romance but it's the human horror of the collision, botched evacuation and final sinking that devastates most.","| Original Score: 4/5
                
                |","Apr 4, 2012"
Robbie Collin,Daily Telegraph (UK),"Cameron's detractors grouse about his use of scale and spectacle to invest archetypal, even clichd stories with an extra, unearned emotional significance. They're absolutely right, with one crucial caveat: there's absolutely nothing unearned about it.","| Original Score: 5/5
                
                |","Apr 4, 2012"
Joe Neumaier,New York Daily News,"Like Kathy Bates' ""unsinkable"" Molly Brown, ""Titanic"" is unabashedly American: It's big, brash and sometimes gauche, yet also unapologetically earnest, amazing to look at and devoted to its own cause. And it knows how to win us over.","| Original Score: 5/5
                
                |","Apr 4, 2012"
Liam Lacey,Globe and Mail,"Overall, for a blockbuster movie about one great big thing hitting another great big thing, the new film shows distinctly upper-deck restraint.","| Original Score: 3/4
                
                |","Apr 4, 2012"
Peter Howell,Toronto Star,"The letdown factor has been most keenly felt in conversions from 2D, but Titanic 3D shows how the ambition can be realized if the will and skill are there. We can only hope that other filmmakers follow Cameron's example.","Full Review
                
                
                    | Original Score: 4/4
                
                |","Apr 3, 2012"
Nick Pinkerton,Village Voice,"But the power of Titanic didn't come from originality; it came from punching cliches across with a seldom-seen directness and sincerity that seemed pure of heart, ""old-fashioned,"" or plain corny, depending on your perspective.",|,"Apr 3, 2012"
Lou Lumenick,New York Post,"James Cameron's spectacular new 3-D version of ""Titanic'' is everything I'd hoped for, and more.","| Original Score: 4/4
                
                |","Apr 3, 2012"
