display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Almar Haflidason,BBC.com,You might be surprised at the tension that pervades this enjoyably cheesy movie.,"| Original Score: 3/5
                
                |","Apr 17, 2001"
Kamal  'The Diva' Larsuel,3BlackChicks Review,Shaving the corns off of your toes is time better spent.,"| Original Score: 1/5
                
                |","Feb 14, 2001"
Urban Cinefile Critics,Urban Cinefile,Bats has the look and feel of a film which really belongs in the straight to video category but it has just enough cheap thrills for genre buffs to give it a look.,|,"Jan 1, 2000"
James Brundage,Filmcritic.com,One of those movies where you have to get popcorn just to throw it at the screen.,"| Original Score: 1.5/5
                
                |","Jan 1, 2000"
Gary Mairs,culturevulture.net,Mainly it made me wish I was watching the Murnau film instead.,"| Original Score: 5/10
                
                |","Jan 1, 2000"
David Keyes,Cinemaphile.org,"...uried in clichs and swarms of mutant-like bats who, at a distance, look like nothing more than inkblots with hidden agendas.","| Original Score: 0.5/4
                
                |","Jan 1, 2000"
Jack Garner,Rochester Democrat and Chronicle,"We've been there, and we've done that. The only difference in this film from director Louis Morneau is that our heroes end up chest-deep in a river of bat droppings.","| Original Score: 3/10
                
                |","Jan 1, 2000"
Mike Gregory,Reel.com,"The script is full of hopelessly banal dialogue, completely lacking in camp value other than the fact Phillips bears a striking resemblance to notorious porn star Peter North.","Full Review
                
                
                    | Original Score: 1/4
                
                |","Jan 1, 2000"
Mick LaSalle,San Francisco Chronicle,"Typically, the movie never gets around to mentioning why the government bred these genius bats. To discourage nightlife? To enforce curfews?","| Original Score: 1/4
                
                |","Jan 1, 2000"
Marc Savlov,Austin Chronicle,"Granted, the bat/vampire crossover audience might find something here, but only, I think, if they're tremendously bored.","| Original Score: 0/5
                
                |","Jan 1, 2000"
James Berardinelli,ReelViews,"Without any vampires, there's a lack of material for fans to sink their teeth into.","| Original Score: 1/4
                
                |","Jan 1, 2000"
Eugene Novikov,Film Blather,"Director Louis Morneau tries to liven things up with some intentional humor, but it is so conventional it doesn't really go anywhere.","| Original Score: C-
                
                |","Jan 1, 2000"
Adam Smith,Empire Magazine,"An unholy, humourless splicing of The Birds and The Swarm, with neither the true terror of the first or hokey charm of the latter.","| Original Score: 2/5
                
                |","Jan 1, 2000"
Lawrence Van Gelder,New York Times,"Masquerading as a Halloween season horror film, this noisy version of a washed-out formula is cause for fright in only one respect: the possibility that it could spawn sequels.","| Original Score: 1/5
                
                |","Jan 1, 2000"
Greg Dean Schmitz,Greg's Previews at Yahoo! Movies,,"| Original Score: 1/4
                
                |","Jan 1, 2000"
Steve Rhodes,Internet Reviews,The movie falls back on every tired horror movie clich.,"| Original Score: 1/4
                
                |","Jan 1, 2000"
Dustin Putman,TheFilmFile.com,"Low-rent horror garbage, and one of those rare theatrical outings that actually deserves to be relegated to the junk bin at video stores across the world.","| Original Score: 0.5/4
                
                |","Jan 1, 2000"
Madeleine Williams,Cinematter,No amount of low expectations could truly prepare you for the horror of watching this film.,"| Original Score: 0/4
                
                |","Jan 1, 2000"
Brian Webster,Apollo Guide,"Well, let's not judge Destination Films on the basis of just one film. If we did, it would be a studio set to flap its wings and fly off into oblivion really soon.","Full Review
                
                
                    | Original Score: 45/100
                
                |","Jan 1, 2000"
Walter V. Addiego,San Francisco Examiner,"A dimwitted, fill-in-the-blanks horror opus that slanders a fine and useful mammal.","| Original Score: 1/4
                
                |","Jan 1, 2000"
Scott Weinberg,eFilmCritic.com,Bats attacking bad actors. Sounds good to me!,"| Original Score: 2.5/5
                
                |","Jan 1, 2000"
Widgett Walls,Needcoffee.com,What an egregiously bad sack of guano this film is. It's so bad that Destination Films is being slapped by a lawsuit from the Bat Anti-Defamation League.,"| Original Score: 0/5
                
                |","Jan 1, 2000"
