display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Richard Knight,Windy City Times,Entertaining enough and stunning to look at but essentially an exceedingly detailed three hour video game -- without the benefit of remote controls,|,"Feb 8, 2010"
Bruce Bennett,"Spectrum (St. George, Utah)","Rebirths the old fashioned action epic in a era of soulless marketing machines, desensitizing shock pieces, and overrated indie-art imposters. Cameron's vision exceeds the hype.","| Original Score: A
                
                |","Feb 1, 2010"
Philip Martin,Arkansas Democrat-Gazette,"...a big, dumb movie built to make money but hardly worthy of serious examination. Avatar isn't only critic-proof, it resists serious criticism. You might as well analyze a beach ball.","| Original Score: 85/100
                
                |","Jan 29, 2010"
David Nusair,Reel Film Reviews,...as lush and impressive as one might've expected.,"| Original Score: 3.5/4
                
                |","Jan 21, 2010"
Rob Gonsalves,Rob's Movie Vault,"It's almost completely hokey, but it's also a major work, a first-class piece of big mainstream filmmaking.","| Original Score: A
                
                |","Jan 21, 2010"
Jamey Codding,Bullz-Eye.com,It's safe to say computer graphics will never be the same.,"| Original Score: 3.5/5
                
                |","Jan 20, 2010"
Linda Cook,"Quad City Times (Davenport, IA)","With its incredibly stunning visuals and compelling story line, James Cameron's 'Avatar' is memorable and meaningful. It's so much more than a film that looks cool with a 3-D treatment.","Full Review
                
                
                    | Original Score: 3.5/4
                
                |","Jan 14, 2010"
Eric Melin,Scene-Stealers.com,"There is nothing new in the story department, but let's give it some credit for tapping into a cultural zeitgeist of sorts and approaching its well-worn story with renewed technical pizazz.","| Original Score: 3/4
                
                |","Jan 13, 2010"
Jean-François Vandeuren,Panorama,"Cameron nous offre un spectacle diablement efficace, et le document le plus pertinent jusqu'à maintenant pour justifier l'émergence des nouvelles technologies 3-D au cinéma.","| Original Score: 6/10
                
                |","Jan 12, 2010"
Fernando F. Croce,CinePassion,Alternates between a slurry of Franz Marc expressionism and the most elaborate Thundercats episode ever made,|,"Jan 10, 2010"
Jay Antani,Cinema Writer,"Worthington and Saldana provide enough wattage to keep the film's human center alive and beating, while Cameron wraps their story in an armature of generally impressive 3D attractions as well as a righteousness that's touching yet all too simplistic","| Original Score: 3/4
                
                |","Jan 9, 2010"
Cosmo Landesman,Sunday Times (UK),"When all the hype and hullabaloo about Avatar calms down, we will be left with a film that's no masterpiece, but still well worth seeing.","| Original Score: 4/5
                
                |","Jan 5, 2010"
Philip French,Observer (UK),"Avatar is overlong, dramatically two-dimensional, smug and simplistic.",|,"Jan 5, 2010"
Andy Morris,GQ Magazine [UK],"Yes, you are effectively watching a special effects showcase - but no more so than Peter Jackson's Lord Of The Rings. And that was nine hours long. So go and see Avatar on the biggest screen possible - you won't regret it.","Full Review
                
                
                |","Jan 5, 2010"
Jonathan Romney,Independent on Sunday,"Avatar is a phenomenon you can't ignore, monumentally imposing and done with extraordinary expertise - but the same could be said of the Dubai skyline, and I'm not sure that represents any future worth investing in.","Full Review
                
                
                |","Jan 5, 2010"
Tom Howard,FHM [UK],"It's 100% genuinely undeniably categorically without-a-doubt unlike anything you've ever seen before and if you like graphics and special effects and stuff that's totally new, you'll love it.","| Original Score: 4/5
                
                |","Jan 5, 2010"
Enrique Buchichio,Uruguay Total,"Un entretenimiento fascinante, con pasajes de inusual belleza, servido con mano maestra por James Cameron. Es también un alegato ecologista y pacifista, justo en tiempos de creciente militarismo y abuso de recursos naturales.","| Original Score: 4/5
                
                |","Jan 2, 2010"
Ross Anthony,Hollywood Report Card,"Action, splendid visuals, romance, and even relevance. Energized pace outshines even the juicy special effects, which seamlessly integrate live action and cgi.","| Original Score: 3.5/4
                
                |","Jan 2, 2010"
"Michael W. Phillips, Jr.",Goatdog's Movies,"But everything about the story, the setting, the dialog, and the parts that aren't purely visual is awful.","| Original Score: 2.5/5
                
                |","Dec 30, 2009"
Jeffrey Chen,Window to the Movies,"Although it looks seamless and wonderful, I'm starting to wonder how worthy it really is to use high-end computer animation to top the next movie in approximating real life.","| Original Score: 8/10
                
                |","Dec 29, 2009"
Sara Michelle Fetters,MovieFreak.com,"Even with its simplistic plot, Avatar is a stunning achievement in next-level cinematic bravado. Watch it on the biggest screen possible. Prepare to be blown away.","| Original Score: 3.5/4
                
                |","Dec 28, 2009"
John Beifuss,"Commercial Appeal (Memphis, TN)","Works as both a socially conscious Western update and as a true SF film, revealing the influences of such fine genre writers as Philip Jose Farmer, Larry Niven and especially Edgar Rice Burroughs (the 'John Carter of Mars' series).","| Original Score: 4/4
                
                |","Dec 28, 2009"
James Kendrick,Q Network Film Desk,"as grand in scope, ambitious in production, and technologically advanced as we would expect","| Original Score: 3.5/4
                
                |","Dec 27, 2009"
Bob Grimm,Reno News and Review,"And with this, the film decade comes to a disappointing conclusion.","| Original Score: 2/5
                
                |","Dec 24, 2009"
Charles Koplinski,Illinois Times,"A wonder to behold, a story to forget.","| Original Score: 3.0/4.0
                
                |","Dec 24, 2009"
Gina Carbone,Seacoast Newspapers (NH/Maine),"Breaks technological ground with stunning visuals, but disappoints on story and characters - which still do matter.","| Original Score: 2.5/4
                
                |","Dec 24, 2009"
Felix Vasquez Jr.,Cinema Crazed,"In spite of the amazing effects, it's yet another lemon from Cameron...",|,"Dec 24, 2009"
Sean O'Connell,Hollywood News,"Cameron's eye-popping visuals are the story, particularly because the actual narrative is too simple to sustain the 150-minute run time.","| Original Score: 3/4
                
                |","Dec 23, 2009"
Sura Wood,culturevulture.net,"... a largely humorless movie that plays like the sensitive white man-goes-native saga, Dances with Wolves in Outer Space.",|,"Dec 23, 2009"
Steve Biodrowski,Cinefantastique,Avatar is an enormously entertaining piece of screen spectacle that goes a long way toward redeeming the somewhat debased concept of a Hollywood blockbuster...,|,"Dec 23, 2009"
Kelly Vance,East Bay Express,"By the time the big battle rolls around in the last quarter we've had enough of Pandora and the Na'Vi and Avatar, and are ready to take another five-year vacation from James Cameron.",|,"Dec 23, 2009"
Giles Hardie,Sydney Morning Herald,"From the music to the muse, this is clearly a James Cameron flick, clearly a masterpiece, and clearly marks a revolution in blockbusters, for if you only see one film in a 3-D cinema this year, make it Avatar.","| Original Score: 5/5
                
                |","Dec 23, 2009"
Ken Hanke,"Mountain Xpress (Asheville, NC)","Does it signal the death of movies as we know them, as suggested? I doubt it -- not in the least because, technology to one side, it very much is movies as we know them.","| Original Score: 3.5/5
                
                |","Dec 23, 2009"
Louis Proyect,rec.arts.movies.reviews,A visually stunning anti-imperialist entertainment! Who could ask for more?,|,"Dec 23, 2009"
Tricia Olszewski,Washington City Paper,"Adjectives such as ""beautiful"" and ""breathtaking"" have been thrown at Avatar, and they're apt. But I'll throw in a third B: Boring.","Full Review
                
                
                |","Dec 22, 2009"
Mark R. Leeper,rec.arts.movies.reviews,"Like James Cameron's previous film, TITANIC, there are enough good bits to make a really great film and enough bad bits to make a real stinker. Go for what is good and ignore the bad.","Full Review
                
                
                    | Original Score: 6/10
                
                |","Dec 22, 2009"
Tony Medley,tonymedley.com,"Filmed in mind-blowing IMAX 3-D, the story is so entertaining that I soon paid little attention to the 3-D.","| Original Score: 8/10
                
                |","Dec 22, 2009"
Dragan Antulov,rec.arts.movies.reviews,New Age agitprop ga dovodi na rub samoparodije,"| Original Score: 7/10
                
                |","Dec 22, 2009"
Stanley A. Miller II,Milwaukee Journal Sentinel,"There is plenty of gee-whiz technology to keep the audience marveling over how they did this and that, so that, with any luck, viewers won't dwell too long on the derivative, unimaginative story and the shallow characters.","| Original Score: 3/4
                
                |","Dec 22, 2009"
Wilson Morales,BlackFilm.com,"Audiences will find it to be a brilliantly, stunning entertaining fantasy!","| Original Score: 4/5
                
                |","Dec 22, 2009"
Kevin A. Ranson,MovieCrypt.com,... like the Jurassic Park (dinosaurs)... (believe) the world of Pandora does indeed exist. Then there's the better news: the characters and story are just as believable.,"| Original Score: 4.0/4.0
                
                |","Dec 22, 2009"
Jackie K. Cooper,jackiekcooper.com,"Staggering, spellbinding, a virtual trip to another world. Cameron has created the best film of the year and maybe of the decade","| Original Score: 10/10
                
                |","Dec 21, 2009"
David Edelstein,New York Magazine/Vulture,"The narrative would be ho-hum without the spectacle. But what spectacle! Avatar is dizzying, enveloping, vertiginous ... I ran out of adjectives an hour into its 161 minutes.",|,"Dec 21, 2009"
Robert Roten,Laramie Movie Scope,What Avatar does best of all is immerse the viewer in this alien world until it seems like home.,"| Original Score: A
                
                |","Dec 21, 2009"
Dennis Schwartz,Dennis Schwartz Movie Reviews,Enough toys to please all the kiddies in the audience.,"| Original Score: B
                
                |","Dec 21, 2009"
Prairie Miller,NewsBlaze,"A born again, freshly buffed wheelchair warrior turned unwitting capitalist tool in league with a digitalized free spirit princess, takes on forest foreclosure and the military industrial complex, in this breathtaking futuristic identity theft odyssey.",|,"Dec 21, 2009"
A.O. Scott,At the Movies,I had the feeling coming out of this movie that I haven't felt since maybe I was eleven years old in 1977 and I saw Star Wars for the first time.,"Full Review
                
                
                |","Dec 21, 2009"
Kam Williams,NewsBlaze,"Forget dancing with wolves, howzabout doing the Funky Chicken with aliens?","| Original Score: 4/4
                
                |","Dec 21, 2009"
Kevin McCarthy,BDK Reviews,"After a second viewing at a better theater, I feel this movie is more fresh than rotten. The stunning visuals are slightly better than the unoriginal plot and horrendous dialogue.","| Original Score: 3/5
                
                |","Dec 21, 2009"
Jeffrey Westhoff,"Northwest Herald (Crystal Lake, IL)","Avatar is great to look at, often astonishing and sometimes beautiful. But, oh, is the story pedestrian.","Full Review
                
                
                    | Original Score: 3/4
                
                |","Dec 20, 2009"
Jeff Bayer,The Scorecard Review,"This movie feels exactly like watching your friend play the greatest video game ever. It looks pretty, but eventually gets boring.","| Original Score: 7/10
                
                |","Dec 20, 2009"
Michael Smith,Tulsa World,Director James Cameron has once again reminded us why we go to the movies and why screens the size of the stories-tall Imax are still necessary.,"Full Review
                
                
                    | Original Score: 4/4
                
                |","Dec 20, 2009"
Todd Hertz,Christianity Today,"Full of that rare movie magic which can transport, entertain and intrigue, this sci-fi fantasy is a fun amusement park ride that ignites your imagination.","| Original Score: 3.5/4
                
                |","Dec 20, 2009"
Gary Wolcott,Tri-City Herald,"James Cameron invented a world comparable to George Lucas' galaxy of long ago, far, far away and as original as what Peter Jackson did with J.R.R. Tolkien's Middle-Earth.","| Original Score: 4/5
                
                |","Dec 19, 2009"
Mike McGranaghan,Aisle Seat,I'd be hard-pressed to recall another movie that so fully transported me to a world that doesn't exist. Avatar is one of the most exciting and thrilling moviegoing experiences I've ever had.,"| Original Score: 4/4
                
                |","Dec 19, 2009"
Karina Montgomery,Cinerina,"The Na'vi consider seeing, in the sense of grok or ken, to be fundamental in tribal life and in navigating Pandora. If you allow yourself to see Avatar as it was meant, you will love it as I did. I can't wait to go there again.","| Original Score: 5/5
                
                |","Dec 19, 2009"
Brandon Judell,CultureCatch,"Strike up the band. Light up the fireworks. Bake the cannoli. Yes, everything you heard about Avatar is true. James Cameron's epic fantasy trip is as wondrous and engrossing as his Titanic was over-praised and ultimately silly.","| Original Score: 9/10
                
                |","Dec 19, 2009"
Keith Cohen,Entertainment Spectrum,"James Cameron, in his first feature film since ""Titanic"" in 1997, has the right to reclaim the title of King of the (Cinematic) World with this monumental epic.","| Original Score: 3/4
                
                |","Dec 19, 2009"
Beth Accomando,KPBS.org,"And for the epic battle at the end, well let me just say it's as believable as the Ewoks beating the Empire at the end of Return of the Jedi.",|,"Dec 19, 2009"
Michelle Alexandria,Eclipse Magazine,"This movie takes itself way too seriously; there are no cute or funny moments, no rah, rah, nothing. I didn't love this movie or hate it. It''s one big blurry pile of meh.","| Original Score: C
                
                |","Dec 19, 2009"
Tim Brayton,Antagony & Ecstasy,"It stops being a story at all and is instead just a sheer, unmitigated visual and auditory experience, two hours and forty minutes of being exposed to a brand new world.","| Original Score: 8/10
                
                |","Dec 18, 2009"
Dan Lybarger,eFilmCritic.com,"When James Cameron boasts about his latest macro-budgeted movie pushes the limits of cinema, he sounds like a politician bragging about a pork barrel project. Unlike elected officials, Cameron actually delivers.","| Original Score: 4.5/5
                
                |","Dec 18, 2009"
Robert Levin,Critic's Notebook,"The film gets the closest any has to fulfilling the 3-D format's fundamental mission of creating a new, immersive way of looking at movies.","| Original Score: 3.5/4
                
                |","Dec 18, 2009"
Avi Offer,NYC Movie Guru,"A brilliant, visual extravaganza that's simultaneously thrilling, provocative and surprisingly moving. It's destined to become a sci-fi classic.","| Original Score: 9.25/10
                
                |","Dec 18, 2009"
Kit Bowen,The Movie Kit,"Pay attention to what James Cameron has done with his truly spectacular looking Avatar. This, my friends, is the right way to create a 3D film experience.","| Original Score: 3.5/4
                
                |","Dec 18, 2009"
Nathaniel Rogers,The Film Experience,"Pandora is so immersive, its native cultures so well realized that any fantasy novelists watching will surely weep from the world-building gauntlet thrown down. Top this!","| Original Score: A-
                
                |","Dec 18, 2009"
Andrea Chase,Killer Movie Reviews,"a bold and imaginative vision brought low by a script that plays it very, very safe","| Original Score: 3/5
                
                |","Dec 18, 2009"
Kevin Carr,7M Pictures,Don't just see it. See it in 3D. See it in IMAX 3D. This presentation is easily one of the most spectacular things you will see on the big screen.,"| Original Score: 4.5/5
                
                |","Dec 18, 2009"
Lori Hoffman,Atlantic City Weekly,"My expectations were more than satisfied by Avatar, a spectacular flight of fancy that has a strong enough story to keep up with and be enhanced by the OMG technology.","| Original Score: 3.5/4
                
                |","Dec 18, 2009"
Stephanie Zacharek,Salon.com,"It's a remote-control movie experience, a high-tech ""wish you were here"" scribbled on a very expensive postcard.","Full Review
                
                
                |","Dec 18, 2009"
Jeffrey Lyles,Gazette (MD),"This masterpiece is definitely one experience worth braving text a lot guy, talking teen girls and parents who can't be bothered to get a babysitter to see in the theater.","Full Review
                
                
                    | Original Score: 4.5/5
                
                |","Dec 18, 2009"
Kurt Loder,MTV,"The central question that ""Avatar"" poses, however, is whether expensively advanced filmmaking technology is enough in itself to carry a whole film.","| Original Score: 3/5
                
                |","Dec 18, 2009"
Kevin Williamson,Jam! Movies,"Hardwired for hyperbole, as sensational as it is ridiculous, Avatar is, simply, a feat of fearless imagination and audacity.","| Original Score: 4/5
                
                |","Dec 18, 2009"
Michelle Orange,Movieline,"It's all too easy to tangle with the political and situational gauntlets he lays down, but as a showman Cameron will not be denied.","Full Review
                
                
                    | Original Score: 9/10
                
                |","Dec 18, 2009"
Amy Biancolli,San Francisco Chronicle,The most-hyped movie of the year just about merits it.,"| Original Score: 3.5/4
                
                |","Dec 18, 2009"
Rick Groen,Globe and Mail,"Big money, big risk, pretty big reward. That's been his consistent pattern, and it's high time to give credit where credit is overdue: James Cameron delivers.","| Original Score: 3/4
                
                |","Dec 18, 2009"
Tom Long,Detroit News,"I have seen the future of movies, and it is Avatar.","| Original Score: A+
                
                |","Dec 18, 2009"
Lisa Kennedy,Denver Post,"Cameron and his legion of CGI experts and skilled craftspeople have delivered a lovely, misty, dangerous world.","Full Review
                
                
                    | Original Score: 3.5/4
                
                |","Dec 18, 2009"
Eugene Novikov,AMCtv.com,Avatar is revolutionary at least in this way: It is the most convincingly realized artificial world ever created from scratch for the screen. It's a movie to luxuriate in.,"| Original Score: B+
                
                |","Dec 18, 2009"
Sandie Angulo Chen,Common Sense Media,"Action-heavy epic has dazzling effects, familiar story.","| Original Score: 4/5
                
                |","Dec 18, 2009"
Peter Canavese,Groucho Reviews,"Worth seeing--and, yes, in a theater--for its legitimate ""wow factor""...a visually intriguing diversion and instant movie history.","| Original Score: 3/4
                
                |","Dec 18, 2009"
James Rocchi,MSN Movies,"'Avatar' is a very big, very enjoyable, summertime action film that, much as it covers several actors in computer-generated imagery, drapes new flesh over very old bones.","| Original Score: 3.5/5
                
                |","Dec 18, 2009"
Tom Maurstad,Dallas Morning News,"It is cool. But all this ""change the way you look at films"" hype is just that. While Avatar is impressively seamless, you're never fooled. This doesn't look like a documentary film; it looks like a video game.","| Original Score: 3/5
                
                |","Dec 18, 2009"
Peter Rainer,Christian Science Monitor,Pandora is still a good place to park yourself for three hours.,"| Original Score: B+
                
                |","Dec 18, 2009"
